id,date,year,month,tier,tier_raw,outlet,title,url,eav,reach,brand,brand_raw,sentiment,source
a31a4f90cc6a2952,2026-04-25,2026,4,T1-Local,Tier 1 Local,Khaleej Times,No pause button: The UAE’s real estate machine,,,,betterhomes,,,historical_import
b0062b38c2ab567a,2026-04-24,2026,4,T2,Tier 2 International,Business Today,Dubai home prices fall for first time since the pandemic boom: Report,,,,betterhomes,,,historical_import
7d7781ea9246e545,2026-04-24,2026,4,T2,Tier 2 International,Business Standard,"After 70% surge, Dubai housing sees first price drop since the pandemic",,,,betterhomes,,,historical_import
0667430dce6247cc,2026-04-24,2026,4,T2,Tier 2 International,Realty.com (Economic Times),Dubai home prices record first decline after post-pandemic boom,,,,betterhomes,,,historical_import
4b3f16bafd1b34ac,2026-04-23,2026,4,T2,Tier 2 International,The Economic Times,Dubai home prices record first decline after post-pandemic boom,,,,betterhomes,,,historical_import
6d54576475dbc5ad,2026-04-23,2026,4,T1-Global,Tier 1 International,Bloomberg,Dubai home prices drop for first time since post-pandemic boom,,,,betterhomes,,,historical_import
dc55268de6fa43d9,2026-04-23,2026,4,T2,Tier 2,Arqam.news,betterhomes: DIFC’s AI-native expansion reinforces long-term appeal of central Dubai living,,,,betterhomes,,,historical_import
d2a52bd24a536ba3,2026-04-23,2026,4,T2,Tier 2 International,Info Nasional,Dubai Home Prices Experience First Decline Since 2020 Amid Regional Conflict,,,,betterhomes,,,historical_import
393e8ee625a1f979,2026-04-23,2026,4,T1-Global,Tier 1 International,MSN,Dubai home prices record first decline after post-pandemic boom,,,,betterhomes,,,historical_import
b9116424f4656e69,2026-04-23,2026,4,T2,Tier 2 International,The Business Times,Dubai home prices drop for first time since post-pandemic boom,,,,betterhomes,,,historical_import
152e057c16ae60cd,2026-04-23,2026,4,T2,Tier 2 International,News Karnataka,Dubai property prices fall after pandemic boom,,,,betterhomes,,,historical_import
ac389ec0011a62cc,2026-04-23,2026,4,T2,Tier 2 International,MENA FM,Betterhomes: DIFC's AI-Native Expansion Reinforces Long-Term Appeal Of Central Dubai Living,,,,betterhomes,,,historical_import
ad1a910da44accbb,2026-04-23,2026,4,T2,Tier 2,Zawya,ZAWYA: Rently: Tackling the challenges of modern rentals,,,,betterhomes,,,historical_import
f2897cdfdf16826d,2026-04-22,2026,4,T1-Local,Tier 1 Local,Khaleej Times,Rents in Dubai: Landlords pricing units correctly are able to let as market softens,,2200,100000,betterhomes,,,historical_import
d9a3124e1f411c41,2026-04-20,2026,4,T1-Local,Tier 1 Local,Arabian Business,Dubai rents 12.5% below March 2025 levels as leasing market becomes more competitive,,9500,250000,betterhomes,,,historical_import
7e8214b7af7896f5,2026-04-19,2026,4,T1-Local,Tier 1 Local,The National News,Dubai rents defy regional tensions as first quarter values reach $8.8bn,,,,betterhomes,,,historical_import
d70beaf58a3447c7,2026-04-17,2026,4,T2,Tier 2,Arqam.news,Dubai Commercial Real Estate Enters Value-Driven Growth Phase in Q1 2026 with AED 37.9 Billion Sales,,,,betterhomes,,,historical_import
b16b48002014f7e2,2026-04-17,2026,4,T2,Tier 2,Zawya,"Dubai commercial property market sales value tops $10bln in Q1, up 30%",,1000,100000,betterhomes,,,historical_import
8449d11d97ee477a,2026-04-12,2026,4,T1-Local,Tier 1 Local,Khaleej Times,Dubai property prices unlikely to soften across every segment,,2200,500000,betterhomes,,,historical_import
6a9b159c0da3c1ff,2026-04-10,2026,4,T2,Tier 2,Zawya,"Dubai property prices may soften, but segment variation likely: expert",,1000,100000,betterhomes,,,historical_import
9a633d864c5c2bb6,2026-04-10,2026,4,T2,Tier 2,Gulf Daily News,"Dubai property prices may soften, but segment variation likely: expert",,,,betterhomes,,,historical_import
d6ed3dc57f764ab4,2026-04-08,2026,4,T2,Tier 2,Zawya,"Dubai’s off-plan market 'more selective now, but long-term confidence remains'",,1000,100000,betterhomes,,,historical_import
b45f087befe765a2,2026-04-07,2026,4,T2,Tier 2 International,Republica.com,Betterhomes: el mercado inmobiliario de Dubái se enfría sin caer en pánico,,,,betterhomes,,,historical_import
